FlowID,Pig,CD3+,gdTCR+,gdTCR-,CD4-CD8a+,CD4+CD8a+,CD4+CD8a-,NK Cells,CD21+,CD172+,Monocytes
Specimen_031 529_C7_C07_031.fcs,529,14.6,3.56,11,2.39,0.88,6.72,2.12,3.1,67,6.49
Specimen_032 530_C8_C08_032.fcs,530,31.3,15,16.3,4.3,1.99,8.93,4.1,9.33,38.3,9.82
Specimen_033 531_C9_C09_033.fcs,531,32.8,13.9,18.8,3.64,1.36,11.9,1.1,8.5,49.4,3.88
Specimen_034 532_C10_C10_034.fcs,532,22.4,10,12.4,2.52,0.88,8.3,3.28,1.97,63.5,6.67
Specimen_035 537_C11_C11_035.fcs,537,29.7,17.7,12,2.48,1.06,7.61,2.17,3.75,53.1,6
Specimen_036 539_C12_C12_036.fcs,539,34.5,9.06,25.4,5.01,1.67,17,3.93,10,41.4,7.5
Specimen_037 540_D1_D01_037.fcs,540,22.3,9.28,13,2.4,1.53,8.22,3.29,3.78,57.8,13.6
Specimen_038 541_D2_D02_038.fcs,541,20.9,10.7,10.2,2.42,1.46,5.17,2.54,6.57,59.9,6.11
Specimen_039 542_D3_D03_039.fcs,542,15,6.17,8.86,1.38,0.58,6.21,1.2,2.79,74.4,3.69
Specimen_040 547_D4_D04_040.fcs,547,22.8,11.9,11,1.55,0.95,7.06,0.47,4.57,65.7,5.78
Specimen_041 548_D5_D05_041.fcs,548,38.2,11.7,26.5,5.98,1.79,17.9,3.36,2.71,43.4,4.36
Specimen_042 549_D6_D06_042.fcs,549,27.8,8.07,19.8,5.14,2.09,10.1,11,8.36,44.4,5.05
Specimen_043 550_D7_D07_043.fcs,550,27.8,9.3,18.5,5.16,1.93,9.48,6.15,9.58,46,6.14
Specimen_044 551_D8_D08_044.fcs,551,20.6,5.88,14.7,2.96,2.32,8.04,2.84,13.7,57.8,7.53
Specimen_045 552_D9_D09_045.fcs,552,30.3,10.2,20,4.09,1.12,12.4,4.71,11.1,46.4,4.29
Specimen_046 558_D10_D10_046.fcs,558,27.1,12.7,14.5,3.55,1.89,6.79,3.29,18.1,46.3,3.91
Specimen_047 559_D11_D11_047.fcs,559,11.8,3.47,8.34,2.13,0.77,4.96,4.88,1.21,73.4,3.26
Specimen_048 560_D12_D12_048.fcs,560,32.2,11.7,20.5,3.99,1.9,12.4,2.63,8.16,40.6,7.23
Specimen_049 561_E1_E01_049.fcs,561,35.1,16.5,18.6,3.54,2.11,10.8,1.56,12.1,29.2,3.01
Specimen_050 562_E2_E02_050.fcs,562,17.2,6.34,10.9,2.21,0.91,6.27,3.18,5,70.8,5.56
Specimen_051 563_E3_E03_051.fcs,563,29.8,10.5,19.3,3.25,1.21,13.9,1.44,6.94,44.7,2.4
Specimen_052 568_E4_E04_052.fcs,568,11.9,6.72,5.17,0.99,0.46,3.08,0.5,4.07,74.4,8.18
Specimen_053 569_E5_E05_053.fcs,569,17.6,6.51,11.1,2.06,1.37,7.03,6.32,3.92,44.4,9.52
Specimen_054 570_E6_E06_054.fcs,570,40.5,15.8,24.7,5.54,1.98,13.5,2.3,4.41,39.2,3.97
Specimen_055 571_E7_E07_055.fcs,571,24.6,12.4,12.1,2.31,1.14,6.78,1.04,9.07,56.4,9.92
Specimen_056 572_E8_E08_056.fcs,572,15.9,6.8,9.13,2.34,1.62,4.71,3.08,2.2,70,7.84
Specimen_057 573_E9_E09_057.fcs,573,8,5.07,2.93,0.56,0.31,1.56,0.97,2.85,75.1,3.2
Specimen_058 578_E10_E10_058.fcs,578,26.6,10.8,15.8,2.61,2.16,8.82,2.27,14.6,50.5,4.36
Specimen_059 579_E11_E11_059.fcs,579,30.6,8.54,22.1,5.74,1.97,12.6,5.24,6.07,49.5,4.65
Specimen_060 580_E12_E12_060.fcs,580,25.4,7.19,18.3,4.19,1.71,9.91,3.43,9.21,57.4,5.51
Specimen_061 581_F1_F01_061.fcs,581,28.8,10.7,18,2.66,2.01,11.8,5.79,9.67,47.9,5.8
Specimen_062 582_F2_F02_062.fcs,582,10.5,2.73,7.73,1.55,1.59,3.94,2.31,2.58,75.4,5.54
Specimen_063 600_F3_F03_063.fcs,600,14.9,6.86,8.05,2.46,0.95,3.72,4.5,8.5,63.7,9.47
