,Pig,CD3+,gdTCR+,gdTCR-,CD4-CD8a+,CD4+CD8a+,CD4+CD8a-,NK Cells,CD21+,CD172+,Monocytes
Specimen_023 519_B11_B11_023.fcs,519,10.3,3.02,7.29,1.84,1.88,2.98,1.34,7.37,75.8,13
Specimen_024 520_B12_B12_024.fcs,520,12.3,3.4,8.94,2.56,1.65,3.99,1.45,7.27,74.1,6.68
Specimen_025 521_C1_C01_025.fcs,521,20.2,7.48,12.8,2.73,1.64,6.96,1.96,11.6,58.2,8.88
Specimen_026 522_C2_C02_026.fcs,522,9.97,2.35,7.6,1.7,0.99,4.2,2.18,6.49,69.8,6.47
Specimen_027 523_C3_C03_027.fcs,523,13.2,1.86,11.3,5.88,1.64,3.14,2.6,3.48,74.4,7.19
Specimen_028 524_C4_C04_028.fcs,524,17.7,4.94,12.7,4.18,2.68,4.85,4.62,11.3,59,13.3
Specimen_029 525_C5_C05_029.fcs,525,22.6,8.01,14.6,4.59,1.92,6.79,7.44,12.7,45.9,7.36
Specimen_030 527_C6_C06_030.fcs,527,11,3.38,7.6,3.01,1.25,2.57,3.3,8.09,70.9,9.04
Specimen_031 528_C7_C07_031.fcs,528,8.49,0.82,7.66,2.67,1.14,3.62,6.92,2.26,79.1,13.9
Specimen_032 529_C8_C08_032.fcs,529,12.6,1.25,11.4,4.87,1.32,4.09,2.1,9.06,65.7,6.21
Specimen_033 530_C9_C09_033.fcs,530,16.5,4.57,11.9,4.08,3.09,3.81,4.2,9.79,56.7,14.6
Specimen_034 531_C10_C10_034.fcs,531,18.7,4.94,13.8,3.6,1.83,7.37,2.54,7.38,64.6,12.9
Specimen_035 532_C11_C11_035.fcs,532,22.3,5.05,17.2,6.21,2.24,7.63,2.73,5.12,61.3,8.88
Specimen_036 537_C12_C12_036.fcs,537,12.7,5.56,7.13,3.03,1.19,2.33,2.78,5.1,67.4,6.98
Specimen_037 539_D1_D01_037.fcs,539,9.86,0.94,8.91,3.88,0.78,3.21,3.32,15.9,65,6.84
Specimen_038 540_D2_D02_038.fcs,540,11.6,2.49,9.11,2.97,1.87,3.28,3.17,10.3,56.1,11.9
Specimen_039 541_D3_D03_039.fcs,541,12.1,2.27,9.85,4.93,1.98,2.53,5.6,6.06,73.5,15.3
Specimen_040 542_D4_D04_040.fcs,542,21.3,2.87,18.4,6.54,2.39,8.26,2.4,13.6,54.4,9.79
Specimen_041 547_D5_D05_041.fcs,547,9.23,3.42,5.79,1.94,0.7,1.86,5.36,6.79,58.1,11.5
Specimen_042 548_D6_D06_042.fcs,548,10.9,1.7,9.16,3.51,1.13,4.07,3.61,2.9,77.3,5.55
Specimen_043 549_D7_D07_043.fcs,549,15,3.91,11.1,2.67,2.08,5.22,3.7,11.3,62,11.7
Specimen_044 550_D8_D08_044.fcs,550,16.4,5.57,10.8,2.86,2.1,4.43,2.97,11.6,59.7,7.82
Specimen_045 551_D9_D09_045.fcs,551,12.1,2.78,9.34,1.74,2.56,4.2,2.55,12.6,68.3,9.17
Specimen_046 552_D10_D10_046.fcs,552,17.8,6,11.8,2.71,1.35,6.53,3.11,16.4,56,4.6
Specimen_047 558_D11_D11_047.fcs,558,29.5,9.59,19.9,6.47,5.1,6.37,3.59,14,40.4,8.27
Specimen_048 559_D12_D12_048.fcs,559,11.9,1.22,10.6,5.42,1.31,3.59,4.5,3.26,75.7,13.8
Specimen_049 560_E1_E01_049.fcs,560,11.6,1.78,9.82,4.55,1.14,3.02,3.06,7.73,60,8.89
Specimen_050 561_E2_E02_050.fcs,561,13.5,4.05,9.44,2.76,2.24,3.53,4.26,7.55,57.8,18.4
Specimen_051 562_E3_E03_051.fcs,562,10.8,3.16,7.59,2.17,0.81,3.68,4.25,6.85,71.6,16
Specimen_052 566_E4_E04_052.fcs,563,6.9,1.28,5.62,1.99,0.7,2.24,3.48,3.92,81.9,8.63
Specimen_053 568_E5_E05_053.fcs,568,8.34,2.22,6.11,1.91,1.14,2.49,1.32,4.67,78.9,17.3
Specimen_054 569_E6_E06_054.fcs,569,4.98,0.52,4.46,2.12,0.8,1.36,5.57,1.55,85.4,14.2
Specimen_055 570_E7_E07_055.fcs,570,25.2,3.42,21.7,9.71,2.57,7.17,6.73,12.7,47.3,16.2
Specimen_056 571_E8_E08_056.fcs,571,5.9,1.03,4.86,2.33,0.83,1.13,2,3.19,79.5,19.4
Specimen_057 572_E9_E09_057.fcs,572,8.72,1.3,7.41,3.63,1.4,1.99,6.65,3.22,71.2,9.81
Specimen_058 573_E10_E10_058.fcs,573,14.5,3.82,10.7,3.96,1.36,4.67,4.31,10.9,64.2,10.7
Specimen_059 578_E11_E11_059.fcs,578,13.2,4.24,8.93,1.61,1.6,4.6,1.66,15.4,59.5,8.37
Specimen_060 579_E12_E12_060.fcs,579,13.8,3.86,9.94,3.17,1.74,4.26,2.86,6.3,69.4,9.7
Specimen_061 580_F1_F01_061.fcs,580,9.7,2.76,6.94,1.64,1.32,3.27,2.43,8.85,62.1,11.1
Specimen_062 581_F2_F02_062.fcs,581,13.9,3.49,10.4,2.1,1.9,5.43,1.99,5.06,63.2,15.1
Specimen_063 582_F3_F03_063.fcs,582,7.76,1.11,6.65,2.04,1.68,2.54,2.21,4.12,82.2,8.05
Specimen_064 60_F4_F04_064.fcs,600,15,2.11,12.9,6.6,1.34,3.17,2.41,15,54.8,7.22
