FlowID,Pig,CD3+,gdTCR+,gdTCR-,CD4-CD8a+,CD4+CD8a+,CD4+CD8a-,NK Cells,CD21+,CD172+,Monocytes
Specimen_029 525_C5_C05_029.fcs,525,27.2,12,15.2,3.75,1.33,9.22,12.6,9.16,35.1,4.59
Specimen_030 527_C6_C06_030.fcs,527,22.8,9.71,13,1.89,2.35,7.52,3.83,14,48.1,5.72
Specimen_031 528_C7_C07_031.fcs,528,17.8,3.2,14.5,2.65,1.97,9.46,8.25,5.9,60.6,7.03
Specimen_032 529_C8_C08_032.fcs,529,22,4.74,17.3,0.78,4.33,11.9,9.04,9.07,51.4,7.37
Specimen_033 530_C9_C09_033.fcs,530,11.5,4.43,7.03,1.55,1.24,3.71,2.06,5.88,75.3,12.1
Specimen_034 531_C10_C10_034.fcs,531,26,9.57,16.4,2.71,1.62,10.8,8.01,12.6,48.2,5.32
Specimen_035 532_C11_C11_035.fcs,532,28.4,9.12,19.3,2.54,0.68,8.65,1.5,7.43,55.5,10.8
Specimen_036 537_C12_C12_036.fcs,537,20.2,11.6,8.61,1.49,1.28,4.81,2.23,7.94,62.7,9.23
Specimen_037 539_D1_D01_037.fcs,539,20.5,4.46,16.1,2.59,1.09,10.3,4.44,9.72,61.2,9.95
Specimen_038 540_D2_D02_038.fcs,540,20.6,6.82,13.8,2.1,1.77,9.08,5.3,7.15,53.3,11.5
Specimen_039 541_D3_D03_039.fcs,541,16.3,4.54,11.8,2.66,1.66,6.68,5.24,8.46,67.2,7.02
Specimen_040 542_D4_D04_040.fcs,542,21.1,4.94,16.1,2.1,1.12,11.7,2,6.99,64.7,9.81
Specimen_041 547_D5_D05_041.fcs,547,21.2,8.78,12.4,2.34,1.41,7.26,4.37,8.55,58.4,9.03
Specimen_042 548_D6_D06_042.fcs,548,27.6,7.36,20.3,3.95,1.66,14,6.39,4.9,56.1,8.7
Specimen_043 549_D7_D07_043.fcs,549,20.6,5.46,15.2,2.41,2.67,9.33,12.9,9.16,48.7,9.3
Specimen_044 550_D8_D08_044.fcs,550,21.8,6.53,15.2,3.33,2.43,8.09,3.25,9.67,58.9,8.33
Specimen_045 551_D9_D09_045.fcs,551,14.7,3.46,11.3,1.8,2.6,5.84,3.81,13.5,64.7,9.91
Specimen_046 552_D10_D10_046.fcs,552,13.9,4.41,9.45,1.37,0.81,6.47,4.41,6.58,67.5,8.07
Specimen_047 558_D11_D11_047.fcs,558,27.3,11.3,16,4.24,3.01,7.1,3.4,23.4,34.4,4.32
Specimen_048 559_D12_D12_048.fcs,559,19,4.33,14.6,1.54,4.04,8.82,9.1,3.53,58.5,9.11
Specimen_049 560_E1_E01_049.fcs,560,18.4,5.51,12.8,1.95,1.7,8.12,1.89,8.93,63.6,8.59
Specimen_050 561_E2_E02_050.fcs,561,16.2,5,11.2,1.42,3.04,6.13,3.6,9.61,63.9,10.9
Specimen_051 562_E3_E03_051.fcs,562,17.4,5.45,12,2.04,1.09,7.73,9.03,7.51,61.8,10
Specimen_052 563_E4_E04_052.fcs,563,37.4,8.9,28.5,3.36,2.49,20.9,2.14,15.9,37.4,6.36
Specimen_053 568_E5_E05_053.fcs,568,17,6.75,10.2,1.65,1.14,6.22,2.33,9.55,65.7,12.1
Specimen_054 569_E6_E06_054.fcs,569,16.3,3.35,12.9,1.66,1.91,8.95,3.69,4.96,68.6,15.7
Specimen_055 570_E7_E07_055.fcs,570,28.8,8.41,20.4,3.84,1.84,11.5,4.18,9.66,49.3,9.68
Specimen_056 571_E8_E08_056.fcs,571,17.4,6.63,10.8,2.1,1.59,5.76,1.46,11.4,64.3,11.4
Specimen_057 572_E9_E09_057.fcs,572,13.7,3.74,9.92,2.08,1.75,5.52,6.16,4.9,70.1,9.01
Specimen_058 573_E10_E10_058.fcs,573,26.5,9.08,17.4,3.12,2.01,11.2,5.06,10.4,47,7.49
Specimen_059 578_E11_E11_059.fcs,578,8.45,2.75,5.69,0.8,1.04,3.2,1.99,6,79.7,7.34
Specimen_060 579_E12_E12_060.fcs,579,26.1,6.82,19.2,3.82,2.31,12.2,2.32,6.92,55.9,9.48
Specimen_061 580_F1_F01_061.fcs,580,23.8,5.79,18,1.11,4.48,12,9.07,15,43.9,9.18
Specimen_062 581_F2_F02_062.fcs,581,22.5,6.37,16.1,1.92,2.45,10.8,9.82,11.9,45,8.29
Specimen_063 582_F3_F03_063.fcs,582,9.35,1.65,7.69,1.4,1.89,3.81,9.36,5.53,71.9,11.4
Specimen_064 600_F4_F04_064.fcs,600,19.2,5.68,13.6,2.43,1.37,8.45,1.22,7.47,61.1,4.38
