FlowID,Pig,CD3+,gdTCR+,gdTCR-,CD4-CD8a+,CD4+CD8a+,CD4+CD8a-,NK Cells,CD21+,CD172+,Monocytes
Specimen_021 517_B9_B09_021.fcs,517,19.1,6.09,13,1.72,1.16,8.18,3.59,2.59,65,6.83
Specimen_022 518_B10_B10_022.fcs,518,32.4,8.27,24.1,4.08,2.13,16.1,8.5,8.78,45.8,3.94
Specimen_023 519_B11_B11_023.fcs,519,29.8,8.68,21.1,5.16,2.68,10.2,8.2,12.4,40.3,5.69
Specimen_024 520_B12_B12_024.fcs,520,17.3,6.62,10.7,2.78,1.1,5.47,5.48,6.6,64.7,3.34
Specimen_025 521_C1_C01_025.fcs,521,35.7,12.2,23.5,4.39,1.74,15.4,6.51,10.2,37,3.21
Specimen_026 522_C2_C02_026.fcs,522,30.1,16.4,13.7,2.04,1.49,8.04,1.54,6.53,49.4,13.2
Specimen_027 523_C3_C03_027.fcs,523,18.3,3.49,14.7,3.23,1.84,8.81,1.46,1.57,67.1,4.48
Specimen_028 524_C4_C04_028.fcs,524,11.4,5.8,5.61,1.06,0.77,3,1.58,2.9,73.4,11.4
Specimen_029 525_C5_C05_029.fcs,525,31.5,10.8,20.7,5.53,1.47,11.7,22.9,9.71,22.4,2.36
Specimen_030 527_C6_C06_030.fcs,527,26.8,8.67,18,2.72,2.24,11.2,6.3,15.7,40.9,3.51
Specimen_031 528_C7_C07_031.fcs,528,21,3.08,17.9,3.45,1.39,12.1,5,4.1,62.7,7.31
Specimen_032 529_C8_C08_032.fcs,529,17.4,2.66,14.7,2.11,1.44,9.71,6.21,5.3,68.3,6.49
Specimen_033 530_C9_C09_033.fcs,530,3.3,1.17,2.12,0.4,0.31,0.72,1.66,2.89,87.8,6.17
Specimen_034 531_C10_C10_034.fcs,531,11.6,2.09,9.47,1.82,1.8,4.69,13.6,4.83,65.3,6.46
Specimen_035 532_C11_C11_035.fcs,532,21.4,5.26,16.2,2.44,1.49,10.2,10,11.2,45.3,3.55
Specimen_036 537_C12_C12_036.fcs,537,24.3,5.99,18.3,2.42,3.08,11.8,7.85,11.1,46.5,5.51
Specimen_037 539_D1_D01_037.fcs,539,29.4,6.72,22.6,5.58,1.89,13.7,3.34,5.03,52.4,4.16
Specimen_038 540_D2_D02_038.fcs,540,23.5,8.17,15.3,2.61,1.96,8.75,4.22,13.1,50.5,3.84
Specimen_039 541_D3_D03_039.fcs,541,35.2,10.3,24.9,4.58,1.97,16.6,6.25,9.06,39.7,3.1
Specimen_040 542_D4_D04_040.fcs,542,19.5,5.71,13.8,3.54,1.87,6.95,3.44,4.47,62,5.73
Specimen_041 547_D5_D05_041.fcs,547,18.2,6.99,11.2,2.35,1.15,6.18,1.51,9.57,64.5,6.51
Specimen_042 548_D6_D06_042.fcs,548,38,10.9,27.1,5.09,2.28,16.3,5.8,10.6,38.6,4.66
Specimen_043 549_D7_D07_043.fcs,549,13.8,2.95,10.9,1.68,1,7.1,1.97,3.61,77.1,13.1
Specimen_044 550_D8_D08_044.fcs,550,22.1,7.9,14.1,2.51,1.24,8.73,2.6,7.76,62.3,6.31
Specimen_045 551_D9_D09_045.fcs,551,39.5,10.5,28.9,3.49,1.76,21.2,1.69,12.8,37,2.91
Specimen_046 552_D10_D10_046.fcs,552,24.1,6.39,17.7,3.19,1.11,11.2,16.2,6.49,46,6.78
Specimen_047 558_D11_D11_047.fcs,558,19.8,7.11,12.6,2.46,2.11,6.67,3.19,8.21,52.9,5.95
Specimen_048 559_D12_D12_048.fcs,559,20.7,5.93,14.7,2.41,1.6,9.28,3.44,8.58,63.1,5.09
Specimen_049 560_E1_E01_049.fcs,560,18.4,5.13,13.3,2.79,1.64,7.9,5.95,2.02,66,6.62
Specimen_050 561_E2_E02_050.fcs,561,28.3,11.6,16.7,4.63,2.59,7.32,2.94,20.4,35.8,2.91
Specimen_051 562_E3_E03_051.fcs,562,26.2,7.03,19.1,3.67,1.15,12.6,5.82,8.72,42.4,2.48
Specimen_052 563_E4_E04_052.fcs,563,18,4.06,13.9,2.22,1.91,8.15,3.65,12.2,60.1,10.5
Specimen_053 568_E5_E05_053.fcs,568,30.6,9.11,21.4,5.57,2.55,11,14.8,9.41,33.4,4.46
Specimen_054 569_E6_E06_054.fcs,569,28.3,6.33,22,4.19,2.7,13.3,16.2,8.61,38.2,4.95
Specimen_055 570_E7_E07_055.fcs,570,41.8,8.93,32.8,6.82,1.66,21.7,1.81,3.16,46.3,3.99
Specimen_056 571_E8_E08_056.fcs,571,32.2,13.8,18.4,3.29,2.01,10.6,3.18,7.49,50.3,2.51
Specimen_057 572_E9_E09_057.fcs,572,43.3,10,33.1,5.31,2.3,23.1,8.14,8.81,28.4,3.66
Specimen_058 573_E10_E10_058.fcs,573,24.2,6.2,17.9,4.36,1.95,9.88,6.58,10,54.9,4.12
Specimen_059 578_E11_E11_059.fcs,578,21.6,6.77,14.8,2.67,1.27,9.59,3.47,6.7,57.4,7.49
Specimen_060 579_E12_E12_060.fcs,579,27.3,5.26,22,4.13,1.26,13.7,7.76,9.55,49,6.94
Specimen_061 580_F1_F01_061.fcs,580,34,18.9,15,2.7,1.74,8.65,5,9.72,41.7,4.92
Specimen_062 581_F2_F02_062.fcs,581,30.4,7.58,22.8,3.4,1.52,16.2,6.26,6.19,47.9,4.85
Specimen_063 582_F3_F03_063.fcs,582,27.2,10.1,16.9,3.25,1.09,9.47,6.43,10.3,44.1,3.53
Specimen_064 600_F4_F04_064.fcs,600,12.2,4.46,7.68,1.48,0.86,3.59,1.85,7.95,71.9,7.06
,,,,,,,,,,,
