FlowID,Pig,CD3+,gdTCR+,gdTCR-,CD4-CD8a+,CD4+CD8a+,CD4+CD8a-,NK Cells,CD21+,CD172+,Monocytes
Specimen_049 560_E1_E01_049.fcs,560,20.6,4.9,15.7,2.24,1.95,10,0.45,4.97,65.2,6.49
Specimen_050 561_E2_E02_050.fcs,561,14.5,4.33,10.2,2.04,2.21,5.07,2.81,7.82,68.6,12.4
Specimen_051 562_E3_E03_051.fcs,562,13.2,4.18,9.05,1.86,0.98,5.3,6.53,5.92,68.3,7.14
Specimen_052 563_E4_E04_052.fcs,563,26.9,6.99,19.9,2.8,2.37,13.2,4.51,13.8,49.2,8.38
Specimen_053 568_E5_E05_053.fcs,568,4.02,1.09,2.93,0.84,0.68,1.07,0.77,2.59,81.4,3.34
Specimen_054 569_E6_E06_054.fcs,569,2.28,0.49,1.79,0.44,0.48,0.64,2.82,0.96,87.7,5.77
Specimen_055 570_E7_E07_055.fcs,570,25.8,7.11,18.7,3.45,2.52,11,3.57,8.96,55.4,9.8
Specimen_056 571_E8_E08_056.fcs,571,6.14,3.92,2.23,0.39,0.49,0.91,0.33,3.26,81,6.6
Specimen_057 572_E9_E09_057.fcs,572,14.6,4.56,10.1,2.32,2.03,5.05,1.37,2.54,68.7,4.34
Specimen_058 573_E10_E10_058.fcs,573,26.3,8.11,18.2,3.59,2.62,11,6.41,10.4,52.4,6.86
Specimen_059 578_E11_E11_059.fcs,578,14,5.28,8.72,1.24,1.6,4.96,1.58,8.64,65.6,7.49
Specimen_060 579_E12_E12_060.fcs,579,25.6,6.32,19.3,4.34,2.42,11.7,1.37,5.57,59.1,9.18
Specimen_061 580_F1_F01_061.fcs,580,18.1,4.32,13.8,2.25,2.07,8.45,3.01,9.03,59.2,9.23
Specimen_062 581_F2_F02_062.fcs,581,16.1,4.44,11.7,1.94,1.64,7.26,8.64,9.1,56.6,9.45
Specimen_063 582_F3_F03_063.fcs,582,4.81,0.91,3.9,0.72,1.06,1.67,1.65,3.06,87.7,7.44
Specimen_064 600_F4_F04_064.fcs,600,15.9,5.91,9.99,2.5,1.21,5.27,1.47,4.83,56,4.09
